cohort,task,scope,feature,trajectories,positive_trajectories,groups,auc,auc_low,auc_high,force_auc_same_subset,delta_vs_force,delta_low,delta_high,interpretation
Phase2A,difficult_vs_success,whole,torque_norm,100,7,93,0.9983388704318937,0.9899821109123436,1.0,0.9750830564784053,0.023255813953488413,-0.0016611295681062677,0.05953765227021042,descriptive grouped association; no held-out classifier or causal inference
Phase2A,difficult_vs_success,whole,normal_load,100,7,93,0.9833887043189369,0.9499074074074074,1.0,0.9750830564784053,0.00830564784053156,-0.006660199556540969,0.03370921889806414,descriptive grouped association; no held-out classifier or causal inference
Phase2A,difficult_vs_success,whole,progress_rate,100,7,93,0.7325581395348837,0.6145050207174587,0.8377076411960135,0.9750830564784053,-0.24252491694352163,-0.35722591362126244,-0.13978622431208643,descriptive grouped association; no held-out classifier or causal inference
Phase2A,difficult_vs_success,whole,abs_dforce_dt,100,7,93,0.729235880398671,0.6146296296296296,0.8367783224400872,0.9750830564784053,-0.24584717607973428,-0.34802737520128824,-0.15288671023965142,descriptive grouped association; no held-out classifier or causal inference
Phase2A,difficult_vs_success,whole,rms_dforce_dt,100,7,93,0.7757475083056479,0.5951323304341334,0.9291851441241685,0.9750830564784053,-0.19933554817275745,-0.3660125127681308,-0.05097598345748526,descriptive grouped association; no held-out classifier or causal inference
Phase2A,difficult_vs_success,whole,abs_dforce_ddepth,100,7,93,0.7541528239202658,0.5366624579124579,0.9103396087117017,0.9750830564784053,-0.22093023255813948,-0.42424573449854347,-0.08118921775898519,descriptive grouped association; no held-out classifier or causal inference
Phase2A,difficult_vs_success,band10_15,full_sensitivity,100,7,93,0.8538205980066446,0.6916708281315023,0.9752046325322188,0.8388704318936877,0.014950166112956853,-0.11169433094994889,0.14775054764512593,descriptive grouped association; no held-out classifier or causal inference
Phase2A,difficult_vs_success,band10_15,translation_sensitivity,100,7,93,0.8106312292358804,0.6332677902621723,0.9502528089887641,0.8388704318936877,-0.028239202657807327,-0.152247191011236,0.07846735780330626,descriptive grouped association; no held-out classifier or causal inference
Phase2A,difficult_vs_success,band10_15,lateral_tilt_sensitivity,100,7,93,0.925249169435216,0.8337990196078432,0.985992851543544,0.8388704318936877,0.08637873754152825,0.010836454431960124,0.19789602855867922,descriptive grouped association; no held-out classifier or causal inference
Phase2A,difficult_vs_success,band10_15,force_norm,100,7,93,0.8388704318936877,0.7123563218390805,0.9524165659921474,0.8388704318936877,0.0,0.0,0.0,descriptive grouped association; no held-out classifier or causal inference
Phase2A,difficult_vs_success,band10_15,torque_norm,100,7,93,0.9700996677740864,0.9272692441657959,1.0,0.8388704318936877,0.1312292358803987,0.0393258426966292,0.24152944595118178,descriptive grouped association; no held-out classifier or causal inference
Phase2A,difficult_vs_success,band10_15,normal_load,100,7,93,0.840531561461794,0.7147062579821201,0.9545756569012384,0.8388704318936877,0.0016611295681062677,0.0,0.009134702506795593,descriptive grouped association; no held-out classifier or causal inference
Phase2A,difficult_vs_success,band10_15,progress_rate,100,7,93,0.946843853820598,0.881788575409265,0.9943820224719101,0.8388704318936877,0.10797342192691028,0.018068181818181824,0.2197089947089947,descriptive grouped association; no held-out classifier or causal inference
Phase2A,difficult_vs_success,band10_15,abs_dforce_dt,100,7,93,0.8903654485049833,0.739658759883479,0.988518662017306,0.8388704318936877,0.05149501661129563,-0.09661786170406855,0.1883524904214561,descriptive grouped association; no held-out classifier or causal inference
Phase2A,difficult_vs_success,band10_15,rms_dforce_dt,100,7,93,0.7740863787375415,0.6093886483258054,0.9236803378613724,0.8388704318936877,-0.06478405315614622,-0.1967977528089887,0.050028089887640396,descriptive grouped association; no held-out classifier or causal inference
Phase2A,difficult_vs_success,band10_15,abs_dforce_ddepth,100,7,93,0.659468438538206,0.49107416879795396,0.8153711915907038,0.8388704318936877,-0.17940199335548168,-0.3250335249042145,-0.03632144601856374,descriptive grouped association; no held-out classifier or causal inference
Phase2B,stalled_vs_success,whole,full_sensitivity,61,21,22,0.9999999999999996,0.9999999999999997,1.0000000000000004,0.9917690096681475,0.00823099033185204,-2.220446049250313e-16,0.029806840292157164,descriptive grouped association; no held-out classifier or causal inference
Phase2B,stalled_vs_success,whole,translation_sensitivity,61,21,22,0.9999999999999998,0.9999999999999997,1.0000000000000004,0.9917690096681475,0.008230990331852261,-2.220446049250313e-16,0.029806840292157164,descriptive grouped association; no held-out classifier or causal inference
