evaluation,horizon_s,model,mode,stalled_trajectories,detected_before_confirmation,detected_before_lookback,median_lead_to_confirmation_s,min_lead_to_confirmation_s,nonstalled_trajectories,nonstall_alerts,nonstall_alert_rate,nonstall_alert_rate_groupweighted,trajectories_without_eligible_windows
quarantined_shared_path,1.0,progress_contact_motion,semantic_eta_0.5,11,4,0,0.3250000000041382,0.28333333333307564,28,0,0.0,0.0,0
stage4,1.0,progress_contact_motion,calibrated,7,7,5,1.2000000000152795,0.3250000000041382,6,0,0.0,0.0,0
stage4,1.0,progress_contact_motion,semantic_eta_0.5,7,7,1,0.2916666666664014,0.2250000000028649,6,0,0.0,0.0,0
development_oof,1.0,persistence,calibrated,6,1,1,0.8583333333208429,0.8583333333208429,112,10,0.08928571428571429,0.09900990099009901,0
development_oof,1.0,persistence,semantic_eta_0.5,6,1,1,0.8583333333208429,0.8583333333208429,112,14,0.125,0.13861386138613863,0
quarantined_shared_path,1.0,persistence,calibrated,11,0,0,,,28,0,0.0,0.0,0
quarantined_shared_path,1.0,persistence,semantic_eta_0.5,11,0,0,,,28,0,0.0,0.0,0
stage4,1.0,persistence,calibrated,7,3,0,0.050000000000636646,0.025000000000318323,6,0,0.0,0.0,0
stage4,1.0,persistence,semantic_eta_0.5,7,4,0,0.08333333333393966,0.050000000000636646,6,0,0.0,0.0,0
development_oof,1.0,force_threshold,calibrated,6,1,1,0.7583333333222981,0.7583333333222981,112,11,0.09821428571428571,0.10891089108910892,0
development_oof,1.0,force_threshold,force_1N,6,1,1,0.7583333333222981,0.7583333333222981,112,11,0.09821428571428571,0.10891089108910892,0
development_oof,1.0,force_threshold,force_2N,6,0,0,,,112,0,0.0,0.0,0
development_oof,1.0,force_threshold,force_5N,6,0,0,,,112,0,0.0,0.0,0
development_oof,1.0,force_threshold,force_10N,6,0,0,,,112,0,0.0,0.0,0
development_oof,1.0,force_threshold,force_20N,6,0,0,,,112,0,0.0,0.0,0
quarantined_shared_path,1.0,force_threshold,calibrated,11,3,1,0.3833333333329847,0.13333333333503106,28,0,0.0,0.0,0
quarantined_shared_path,1.0,force_threshold,force_1N,11,4,2,0.5624999999998046,0.13333333333503106,28,0,0.0,0.0,0
quarantined_shared_path,1.0,force_threshold,force_2N,11,0,0,,,28,0,0.0,0.0,0
quarantined_shared_path,1.0,force_threshold,force_5N,11,0,0,,,28,0,0.0,0.0,0
quarantined_shared_path,1.0,force_threshold,force_10N,11,0,0,,,28,0,0.0,0.0,0
quarantined_shared_path,1.0,force_threshold,force_20N,11,0,0,,,28,0,0.0,0.0,0
stage4,1.0,force_threshold,calibrated,7,5,2,0.2916666666664014,0.10000000000127329,6,0,0.0,0.0,0
stage4,1.0,force_threshold,force_1N,7,5,2,0.2916666666664014,0.10000000000127329,6,0,0.0,0.0,0
stage4,1.0,force_threshold,force_2N,7,0,0,,,6,0,0.0,0.0,0
stage4,1.0,force_threshold,force_5N,7,0,0,,,6,0,0.0,0.0,0
stage4,1.0,force_threshold,force_10N,7,0,0,,,6,0,0.0,0.0,0
stage4,1.0,force_threshold,force_20N,7,0,0,,,6,0,0.0,0.0,0
