trajectory_id,study,group_id,role,family,stalled,stall_confirmation_s,stall_lookback_start_s,insertion_success,numerically_valid,grasp_retained,max_depth_mm,max_normal_load_n,windows
Forge-Phase2B-Stage1/b020_try00,Forge-Phase2B-Stage1,Phase2B:b_d10_y_roll_+1_combined,development,offset_tilt,False,,,True,True,True,20.010484009981155,0.7721067667007446,60
Forge-Phase2B-Stage1/b021_try00,Forge-Phase2B-Stage1,Phase2B:b_d10_y_roll_-1_tilt,quarantined_shared_path,tilt_only,False,,,True,True,True,19.801905006170273,4.284372806549072,60
Forge-Phase2B-Stage1/b022_try00,Forge-Phase2B-Stage1,Phase2B:b_d10_y_roll_-1_drift,quarantined_shared_path,y_offset,False,,,True,True,True,20.111700147390366,0.035943180322647095,60
Forge-Phase2B-Stage1/b023_try00,Forge-Phase2B-Stage1,Phase2B:b_d10_y_roll_-1_combined,development,offset_tilt,False,,,True,True,True,20.020810514688492,0.5210890769958496,60
Forge-Phase2B-Stage2/b000_try00,Forge-Phase2B-Stage2,Phase2B:b_d10_x_pitch_+1_combined,quarantined_shared_path,offset_tilt,False,,,False,True,True,18.904177099466324,12.99140739440918,60
Forge-Phase2B-Stage2/b001_try00,Forge-Phase2B-Stage2,Phase2B:b_d10_x_pitch_+1_drift,quarantined_shared_path,x_offset,False,,,True,True,True,20.095763355493546,0.9137702584266663,60
Forge-Phase2B-Stage2/b002_try00,Forge-Phase2B-Stage2,Phase2B:b_d10_x_pitch_+1_tilt,development,tilt_only,False,,,False,True,True,19.025569409132004,9.715456008911133,60
Forge-Phase2B-Stage2/b003_try00,Forge-Phase2B-Stage2,Phase2B:b_d10_x_pitch_-1_drift,development,x_offset,False,,,True,True,True,19.938921183347702,0.635317862033844,60
Forge-Phase2B-Stage2/b004_try00,Forge-Phase2B-Stage2,Phase2B:b_d10_x_pitch_-1_tilt,development,tilt_only,False,,,False,True,True,19.042374193668365,8.03304386138916,60
Forge-Phase2B-Stage2/b005_try00,Forge-Phase2B-Stage2,Phase2B:b_d10_y_roll_+1_combined,development,offset_tilt,True,9.791666666657761,9.291666666657761,False,True,True,19.183484464883804,10.601653099060059,60
Forge-Phase2B-Stage2/b006_try00,Forge-Phase2B-Stage2,Phase2B:b_d10_y_roll_+1_drift,development,y_offset,False,,,True,True,True,19.98603120446205,0.3399028182029724,60
Forge-Phase2B-Stage2/b007_try00,Forge-Phase2B-Stage2,Phase2B:b_d10_y_roll_-1_combined,development,offset_tilt,True,9.766666666791025,9.266666666791025,False,True,True,19.16789785027504,10.341836929321289,60
Forge-Phase2B-Stage2/b008_try00,Forge-Phase2B-Stage2,Phase2B:b_d10_y_roll_-1_drift,quarantined_shared_path,y_offset,False,,,True,True,True,20.017018169164658,0.3568410575389862,60
